Type,Brand,Series,Button,Label,Notes,IR Base64,IR Hex
ACCESSORY,Mitsubishi,Ceiling,POWER OFF,Off,Draycott Living Room,JgAWAWg1DSkMKQ0ODA8LDwwpDg0MDwwpDSgMDwwpDA4NDg4oCyoNDQ0oDSkNDgsPDCkODQwPDCkNDgwPCw8NDQ4oDA4ODQ0ODA8LDw0ODA4MDwwODQ4NDgwPDA4MDw0NDA8MDg4NDSgMDwwPDA8LKQ0pDA8MDg0pCxALDg4NDSgNKQ0OCxALDg0ODSgNDg0ODA8LEAsPDA4NDgwPDA4NDg0OCxALDw0NDQ4MDwwODg0MDwsQCw8MKQwpDSkMKQwpDSgNKQwpDA8MKQwpDSgMDw0ODCkMKQ0ODCkNKQspDg0NDgwpDCoLKQ0pDA8MKQwpDCkNKA0pDCkMKQ0oDSkMKQwpDSgNKQwqCykOJw0pDSgMKQ0pDCkNAA0FAAA=,2600160168350d290c290d0e0c0f0b0f0c290e0d0c0f0c290d280c0f0c290c0e0d0e0e280b2a0d0d0d280d290d0e0b0f0c290e0d0c0f0c290d0e0c0f0b0f0d0d0e280c0e0e0d0d0e0c0f0b0f0d0e0c0e0c0f0c0e0d0e0d0e0c0f0c0e0c0f0d0d0c0f0c0e0e0d0d280c0f0c0f0c0f0b290d290c0f0c0e0d290b100b0e0e0d0d280d290d0e0b100b0e0d0e0d280d0e0d0e0c0f0b100b0f0c0e0d0e0c0f0c0e0d0e0d0e0b100b0f0d0d0d0e0c0f0c0e0e0d0c0f0b100b0f0c290c290d290c290c290d280d290c290c0f0c290c290d280c0f0d0e0c290c290d0e0c290d290b290e0d0d0e0c290c2a0b290d290c0f0c290c290c290d280d290c290c290d280d290c290c290d280d290c2a0b290e270d290d280c290d290c290d000d050000
ACCESSORY,Mitsubishi,Ceiling,POWER ON,On,Draycott Living Room,JgAWAWg2DSgNKA4NDQ4MDgwqDQ4LDwwpDicNDg0pCw8MDw0oDCkNDgwpDCkODQwODSkNDgsPDCkODQwODQ4ODQwpDA8NDQ0ODQ4MDg4NDQ4MDgwPDQ4MDgwODQ4ODQ0ODA4MKg0NDCkODQ0ODA4MKg0oDA4ODQ0oDA8NDgwPCykOKAwODQ4NDgwPCykODQ0ODA8MDg4NDA8MDwsPDQ0NDgwODQ4NDgwPDA4MDw0NDQ4MDg0ODg0MKQwpDicNKQwpDCkNDgwpDg0MKQwpDicNDg4NDSgMKgwODSgNKQwpDQ4NDQ0oDigMKQ0oDA8MKQ4nDSkMKQwpDicNKQwpDCkOJw0pDSgMKQ0oDSkNKAwpDSgNKQ0oDCkOAA0FAAA=,2600160168360d280d280e0d0d0e0c0e0c2a0d0e0b0f0c290e270d0e0d290b0f0c0f0d280c290d0e0c290c290e0d0c0e0d290d0e0b0f0c290e0d0c0e0d0e0e0d0c290c0f0d0d0d0e0d0e0c0e0e0d0d0e0c0e0c0f0d0e0c0e0c0e0d0e0e0d0d0e0c0e0c2a0d0d0c290e0d0d0e0c0e0c2a0d280c0e0e0d0d280c0f0d0e0c0f0b290e280c0e0d0e0d0e0c0f0b290e0d0d0e0c0f0c0e0e0d0c0f0c0f0b0f0d0d0d0e0c0e0d0e0d0e0c0f0c0e0c0f0d0d0d0e0c0e0d0e0e0d0c290c290e270d290c290c290d0e0c290e0d0c290c290e270d0e0e0d0d280c2a0c0e0d280d290c290d0e0d0d0d280e280c290d280c0f0c290e270d290c290c290e270d290c290c290e270d290d280c290d280d290d280c290d280d290d280c290e000d050000
ACCESSORY,Panasonic,Pulomas,POWER ON,On,,JgC8AXY2EQsQKg8NEA0RCxELEQwQDRAKEwwQDRAMEQwQKRELEQwQDRELEQwQDRAMESkQKRApEA0QDBAqDw0QDRAMEA0QDQ8NEA0QDBANEA0PDRANDw0QDRANDw0QDQ8NEA0QDBANEA0PDQ4PDg8NDw4PDgsRDBEPDSwOKw4PDQ8OCxEMEQ8OAAFIczgODw4rDg8ODg4PDg8NDw4PDg8NDw4PDg4ODw4rDg8ODw0PDg8ODg4PDg8NLA4rDisODw4PDSwODg4PDg8NDw4PDg4ODw4PDg4ODw4PDQ8ODw4rDg8NDw4rDiwOKw4PDQ8ODw4PDQ8ODw4ODiwNDw4PDg4ODw4PDg4ODw4PDQ8OKw4PDisODw4ODiwNLA4rDg8ODg4PDg8NDw4PDg8NDw4PDg4ODw4PDQ8ODw4PDQ8ODw4ODiwNLA4rDg8ODg4PDg8NDw4PDg4ODw4PDSwOKw4rDg8ODw0PDg8ODg4PDg8ODg4PDg8NDw4PDg4ODw4PDQ8OLA0PDg8OKw4PDQ8ODw4rDg8ODg4PDg8NDw4PDg8NDw4PDg4ODw4PDQ8ODw4ODg8ODw0PDg8OKw4PDg4OLA0sDgANBQAAAAAAAAAAAAAAAA==,2600bc017636110b102a0f0d100d110b110b110c100d100a130c100d100c110c1029110b110c100d110b110c100d100c112910291029100d100c102a0f0d100d100c100d100d0f0d100d100c100d100d0f0d100d0f0d100d100d0f0d100d0f0d100d100c100d100d0f0d0e0f0e0f0d0f0e0f0e0b110c110f0d2c0e2b0e0f0d0f0e0b110c110f0e00014873380e0f0e2b0e0f0e0e0e0f0e0f0d0f0e0f0e0f0d0f0e0f0e0e0e0f0e2b0e0f0e0f0d0f0e0f0e0e0e0f0e0f0d2c0e2b0e2b0e0f0e0f0d2c0e0e0e0f0e0f0d0f0e0f0e0e0e0f0e0f0e0e0e0f0e0f0d0f0e0f0e2b0e0f0d0f0e2b0e2c0e2b0e0f0d0f0e0f0e0f0d0f0e0f0e0e0e2c0d0f0e0f0e0e0e0f0e0f0e0e0e0f0e0f0d0f0e2b0e0f0e2b0e0f0e0e0e2c0d2c0e2b0e0f0e0e0e0f0e0f0d0f0e0f0e0f0d0f0e0f0e0e0e0f0e0f0d0f0e0f0e0f0d0f0e0f0e0e0e2c0d2c0e2b0e0f0e0e0e0f0e0f0d0f0e0f0e0e0e0f0e0f0d2c0e2b0e2b0e0f0e0f0d0f0e0f0e0e0e0f0e0f0e0e0e0f0e0f0d0f0e0f0e0e0e0f0e0f0d0f0e2c0d0f0e0f0e2b0e0f0d0f0e0f0e2b0e0f0e0e0e0f0e0f0d0f0e0f0e0f0d0f0e0f0e0e0e0f0e0f0d0f0e0f0e0e0e0f0e0f0d0f0e0f0e2b0e0f0e0e0e2c0d2c0e000d05000000000000000000000000
ACCESSORY,Panasonic,Pulomas,POWER OFF,Off,,JgC8AXQ4Dw4OKw8NDw4PDg8NDw4PDQ8ODw4PDQ8ODw0PKw8NDw4PDQ8ODw4PDQ8ODyoPKg8qEA0PDg8qDw0PDg8ODw0PDg8NDw4PDg8NDw4PDQ8ODw4PDQ8ODw0PDg8ODw0PDg8NDw4PDg8NDw4PDQ8ODw4PDRANDyoQKRAMEQwQDRAMEQwQAAFGdTcQDBEpEAwQDRAMEQwQDRAMEQwQDBEMEA0QDBEpEAwRDBAMEQwQDRAMEQwQKREpECkQDBEMECkRDBAMEQwQDRAMEQwQDBEMEA0QDBEMEA0QDBEMEAwRDBEpECkQKRAMEQwRDBAMEQwQDBEMESkQDBEMEAwRDBAMEQwRDBAMEQwRKRAMECkRDBAMESkQKRApEQwQDBEMEAwRDBEMEAwRDBEMEAwRDBAMEQwRDBAMEQwRDBAMESkQKRApEA0QDBEMEAwRDBEMEAwRDBEMECkQKREpEAwQDBEMEQwQDBEMEQwQDBEMEAwRDBEMEAwRDBEMEAwRKRAMEQwQKREMEAwRDBApEQwQDBEMEQwQDBEMEAwRDBEMEAwRDBEMEAwRDBAMEQwRKRApECkQDBEMEQwQKREoEQANBQAAAAAAAAAAAAAAAA==,2600bc0174380f0e0e2b0f0d0f0e0f0e0f0d0f0e0f0d0f0e0f0e0f0d0f0e0f0d0f2b0f0d0f0e0f0d0f0e0f0e0f0d0f0e0f2a0f2a0f2a100d0f0e0f2a0f0d0f0e0f0e0f0d0f0e0f0d0f0e0f0e0f0d0f0e0f0d0f0e0f0e0f0d0f0e0f0d0f0e0f0e0f0d0f0e0f0d0f0e0f0e0f0d0f0e0f0d0f0e0f0e0f0d100d0f2a1029100c110c100d100c110c100001467537100c1129100c100d100c110c100d100c110c100c110c100d100c1129100c110c100c110c100d100c110c102911291029100c110c1029110c100c110c100d100c110c100c110c100d100c110c100d100c110c100c110c112910291029100c110c110c100c110c100c110c1129100c110c100c110c100c110c110c100c110c1129100c1029110c100c112910291029110c100c110c100c110c110c100c110c110c100c110c100c110c110c100c110c110c100c112910291029100d100c110c100c110c110c100c110c110c102910291129100c100c110c110c100c110c110c100c110c100c110c110c100c110c110c100c1129100c110c1029110c100c110c1029110c100c110c110c100c110c100c110c110c100c110c110c100c110c100c110c112910291029100c110c110c1029112811000d05000000000000000000000000
ACCESSORY,Panasonic,Wall AC,POWER ON,On,Pulomas Studio,JgDAAXM5EQsRKRAMEQsRDA4PDg8ODg4PDg4ODw4PDg4OKw4PDg8NDw4PDg4ODw4PDSwOKw4rDg8ODg4sDQ8ODw4ODg8ODw0PDg8ODg4PDg8NDw4PDg4ODw4ODg8ODw4ODg8ODg4PDg8ODg4PDg4ODw4PDQ8ODw4ODiwNLA8NDg8ODw0PDg8OAAFHdDgPDg4rDg8NDw4PDg4ODw4PDg4ODw4ODg8ODw4rDg8NDw4PDg4ODw4PDg4OLA0sDisODw0PDisODw4PDg4ODw4PDQ8ODw4ODg8ODw0PDg8ODw0sDg4ODw4rDisOLA4ODg8ODw0PDg8ODg4PDisODw4PDQ8ODw4ODg8ODw0PDg8OKw4PDisODg4PDisOLA0sDg4ODw4PDQ8ODw4ODg8ODw4ODg8ODw4ODg8ODg4PDg8ODg4PDisOKw4sDg4ODw4ODg8ODw4ODg8ODw4ODisOKw8rDg4ODw4PDg4ODw4PDQ8ODw4PDQ8ODw4OEQsPDw0PDg8OKxELDw4OLBAMEQsRDBEpEAwRCxEMEQwODxAMEQsSCxEMDg8QDA4PEQsRDA4PDg8QDBELDw4OLBAMEQsRKQ4rDgAMfwsADQUAAAAAczkRCw==,2600c0017339110b1129100c110b110c0e0f0e0f0e0e0e0f0e0e0e0f0e0f0e0e0e2b0e0f0e0f0d0f0e0f0e0e0e0f0e0f0d2c0e2b0e2b0e0f0e0e0e2c0d0f0e0f0e0e0e0f0e0f0d0f0e0f0e0e0e0f0e0f0d0f0e0f0e0e0e0f0e0e0e0f0e0f0e0e0e0f0e0e0e0f0e0f0e0e0e0f0e0e0e0f0e0f0d0f0e0f0e0e0e2c0d2c0f0d0e0f0e0f0d0f0e0f0e00014774380f0e0e2b0e0f0d0f0e0f0e0e0e0f0e0f0e0e0e0f0e0e0e0f0e0f0e2b0e0f0d0f0e0f0e0e0e0f0e0f0e0e0e2c0d2c0e2b0e0f0d0f0e2b0e0f0e0f0e0e0e0f0e0f0d0f0e0f0e0e0e0f0e0f0d0f0e0f0e0f0d2c0e0e0e0f0e2b0e2b0e2c0e0e0e0f0e0f0d0f0e0f0e0e0e0f0e2b0e0f0e0f0d0f0e0f0e0e0e0f0e0f0d0f0e0f0e2b0e0f0e2b0e0e0e0f0e2b0e2c0d2c0e0e0e0f0e0f0d0f0e0f0e0e0e0f0e0f0e0e0e0f0e0f0e0e0e0f0e0e0e0f0e0f0e0e0e0f0e2b0e2b0e2c0e0e0e0f0e0e0e0f0e0f0e0e0e0f0e0f0e0e0e2b0e2b0f2b0e0e0e0f0e0f0e0e0e0f0e0f0d0f0e0f0e0f0d0f0e0f0e0e110b0f0f0d0f0e0f0e2b110b0f0e0e2c100c110b110c1129100c110b110c110c0e0f100c110b120b110c0e0f100c0e0f110b110c0e0f0e0f100c110b0f0e0e2c100c110b11290e2b0e000c7f0b000d05000000007339110b
ACCESSORY,Panasonic,Wall AC,POWER OFF,Off,Pulomas Studio,JgC8AXg2EQwQKRAMEQwRDBAMEQwRCxEMEQwQDBEMEA0QKRAMEQwQDRAMEQwQDBEMECkRKRApEAwRDBApEAwRDBEMEAwRDBAMEQwRDBAMEQwQDBEMEQwQDBEMEAwRDBEMEAwRDBAMEQwRDBAMEQwQDBEMEA0QDBEMECkQKREMEAwRDBAMEQwRAAFFdjYQDBEpEAwQDRAMEQwQDBEMEQwQDBEMEAwRDBEpEAwQDRAMEQwQDBEMEQwQKRApESkQDBANECkQDBEMEQwQDBEMEAwRDBEMEAwRDBANEAwRDBAMEQwRDBApECkRKRAMEQwQDBEMEA0QDBEMECkQDRAMEQwQDBEMEQwQDBEMEA0QKRAMESkQDBEMECkRKRApEAwRDBAMEQwQDRAMEQwQDRAMEQwQDBEMEA0QDBEMEA0QDBEMECkQKREpEAwQDRAMEQwQDRAMEA0QDBEMECkRKRApEAwRDBANEAwRDBAMEQwQDRAMEQwQDRAMEQwQDBEMEA0QKRANEAwRKRAMEA0QDBEpEAwRDBAMEQwQDRAMEQwQDBEMEQwQDBEMEA0QDBEMEAwRKRApECkRDBAMEQwRKBEpEAANBQAAAAAAAAAAAAAAAA==,2600bc017836110c1029100c110c110c100c110c110b110c110c100c110c100d1029100c110c100d100c110c100c110c102911291029100c110c1029100c110c110c100c110c100c110c110c100c110c100c110c110c100c110c100c110c110c100c110c100c110c110c100c110c100c110c100d100c110c10291029110c100c110c100c110c110001457636100c1129100c100d100c110c100c110c110c100c110c100c110c1129100c100d100c110c100c110c110c102910291129100c100d1029100c110c110c100c110c100c110c110c100c110c100d100c110c100c110c110c102910291129100c110c100c110c100d100c110c1029100d100c110c100c110c110c100c110c100d1029100c1129100c110c102911291029100c110c100c110c100d100c110c100d100c110c100c110c100d100c110c100d100c110c102910291129100c100d100c110c100d100c100d100c110c102911291029100c110c100d100c110c100c110c100d100c110c100d100c110c100c110c100d1029100d100c1129100c100d100c1129100c110c100c110c100d100c110c100c110c110c100c110c100d100c110c100c112910291029110c100c110c1128112910000d05000000000000000000000000
TV,LG,LG1,POWER ON,Power,LG1,JgBgAAABLZEVERUQFTYUERQRExIVEBUREzYXNBUQFDYXMxU2FDYUNhURFRAUEhQ2FBETERYQFRETNhQ2FjQVERc0FDYXMxQ2FQAFHgABKEgXAAxaAAEoSBMADF0AASpHGAANBQAAAAAAAAAA,2600600000012d91151115101536141114111312151015111336173415101436173315361436143615111510141214361411131116101511133614361634151117341436173314361500051e0001284817000c5a0001284813000c5d00012a4718000d050000000000000000
TV,LG,LG1,SOURCE,Source,LG1,JgBQAAABKJMTERMRFDUSExAUEBQQExETFDUUNRMREzYTNhM2EzYUNhA4ETgRExE0GBAUEBMRExQQExETETgSEhM2EzYTNhM2EwAFIgABK0gVAA0FAAAAAAAAAAA=,2600500000012893131113111435121310141014101311131435143513111336133613361336143610381138111311341810141013111314101311131138121213361336133613361300052200012b4815000d050000000000000000
TV,LG,LG1,VOLUME UP,Up,LG1,JgBYAAsKC2ELAAL5AAEnlBISEhISNxQQERMRExETERMUNBM1FBISNxI3EjgRNxQ0EhMRNxISFRASEhISEhISEhI3EhMTNRQ1ETcSNxI3FTQTAAUlAAEnShEADQU,260058000b0a0b610b0002f90001279412121212123714101113111311131113143413351412123712371238113714341213113712121510121212121212121212371213133514351137123712371534130005250001274a11000d05
TV,LG,LG1,VOLUME DOWN,Down,LG1,JgBQAAABJZURFBATEjcVDxMRExETERMSETcVNBITEDgROBM2EzYTNBU2EzYTEhQQERMQFBATERMSEhUPEzYTNhM2EzYTNhM3FAAFJQABJUsSAA0FAAAAAAAAAAA=,2600500000012595111410131237150f131113111311131211371534121310381138133613361334153613361312141011131014101311131212150f133613361336133613361337140005250001254b12000d050000000000000000
